"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"FRA","France","T","Total","30_34","30 to 34","2018","2018",4053528,,
"DEU","Germany","W","Women","30_34","30 to 34","2018","2018",2599653,,
"DEU","Germany","M","Men","30_34","30 to 34","2018","2018",2749422,,
"DEU","Germany","T","Total","30_34","30 to 34","2018","2018",5349075,,
"ESP","Spain","W","Women","30_34","30 to 34","2018","2018",1417251,,
"ESP","Spain","M","Men","30_34","30 to 34","2018","2018",1404820,,
"ESP","Spain","T","Total","30_34","30 to 34","2018","2018",2822073,,
"ISR","Israel","W","Women","30_34","30 to 34","2018","2018",295519,,
"ISR","Israel","M","Men","30_34","30 to 34","2018","2018",296188,,
"ISR","Israel","T","Total","30_34","30 to 34","2018","2018",591707,,
"FRA","France","W","Women","35_39","35 to 39","2018","2018",2163841,,
"FRA","France","M","Men","35_39","35 to 39","2018","2018",2064637,,
"FRA","France","T","Total","35_39","35 to 39","2018","2018",4228478,,
"DEU","Germany","W","Women","35_39","35 to 39","2018","2018",2567846,,
"DEU","Germany","M","Men","35_39","35 to 39","2018","2018",2633662,,
"DEU","Germany","T","Total","35_39","35 to 39","2018","2018",5201508,,
"ESP","Spain","W","Women","35_39","35 to 39","2018","2018",1748698,,
"ESP","Spain","M","Men","35_39","35 to 39","2018","2018",1754041,,
"ESP","Spain","T","Total","35_39","35 to 39","2018","2018",3502739,,
"ISR","Israel","W","Women","35_39","35 to 39","2018","2018",286088,,
"ISR","Israel","M","Men","35_39","35 to 39","2018","2018",282980,,
"ISR","Israel","T","Total","35_39","35 to 39","2018","2018",569068,,
"FRA","France","W","Women","40_44","40 to 44","2018","2018",2104761,,
"FRA","France","M","Men","40_44","40 to 44","2018","2018",2051338,,
"FRA","France","T","Total","40_44","40 to 44","2018","2018",4156099,,
"DEU","Germany","W","Women","40_44","40 to 44","2018","2018",2390701,,
"DEU","Germany","M","Men","40_44","40 to 44","2018","2018",2425784,,
"DEU","Germany","T","Total","40_44","40 to 44","2018","2018",4816485,,
"ESP","Spain","W","Women","40_44","40 to 44","2018","2018",1961875,,
"ESP","Spain","M","Men","40_44","40 to 44","2018","2018",2013120,,
"ESP","Spain","T","Total","40_44","40 to 44","2018","2018",3974996,,
"ISR","Israel","W","Women","40_44","40 to 44","2018","2018",277711,,
"ISR","Israel","M","Men","40_44","40 to 44","2018","2018",273185,,
"ISR","Israel","T","Total","40_44","40 to 44","2018","2018",550896,,
"FRA","France","W","Women","45_49","45 to 49","2018","2018",2303257,,
"FRA","France","M","Men","45_49","45 to 49","2018","2018",2251982,,
"FRA","France","T","Total","45_49","45 to 49","2018","2018",4555239,,
"DEU","Germany","W","Women","45_49","45 to 49","2018","2018",2857827,,
"DEU","Germany","M","Men","45_49","45 to 49","2018","2018",2905981,,
"DEU","Germany","T","Total","45_49","45 to 49","2018","2018",5763808,,
"ESP","Spain","W","Women","45_49","45 to 49","2018","2018",1874731,,
"ESP","Spain","M","Men","45_49","45 to 49","2018","2018",1912402,,
"ESP","Spain","T","Total","45_49","45 to 49","2018","2018",3787134,,
"ISR","Israel","W","Women","45_49","45 to 49","2018","2018",247798,,
"ISR","Israel","M","Men","45_49","45 to 49","2018","2018",241658,,
"ISR","Israel","T","Total","45_49","45 to 49","2018","2018",489456,,
"FRA","France","W","Women","50_54","50 to 54","2018","2018",2286414,,
"FRA","France","M","Men","50_54","50 to 54","2018","2018",2203945,,
"FRA","France","T","Total","50_54","50 to 54","2018","2018",4490359,,
"DEU","Germany","W","Women","50_54","50 to 54","2018","2018",3427804,,
"DEU","Germany","M","Men","50_54","50 to 54","2018","2018",3493833,,
"DEU","Germany","T","Total","50_54","50 to 54","2018","2018",6921637,,
"ESP","Spain","W","Women","50_54","50 to 54","2018","2018",1811311,,
"ESP","Spain","M","Men","50_54","50 to 54","2018","2018",1802453,,
"ESP","Spain","T","Total","50_54","50 to 54","2018","2018",3613766,,
"ISR","Israel","W","Women","50_54","50 to 54","2018","2018",210951,,
"ISR","Israel","M","Men","50_54","50 to 54","2018","2018",204348,,
"ISR","Israel","T","Total","50_54","50 to 54","2018","2018",415299,,
"FRA","France","W","Women","55_59","55 to 59","2018","2018",2226339,,
"FRA","France","M","Men","55_59","55 to 59","2018","2018",2096181,,
"FRA","France","T","Total","55_59","55 to 59","2018","2018",4322520,,
"DEU","Germany","W","Women","55_59","55 to 59","2018","2018",3252841,,
"DEU","Germany","M","Men","55_59","55 to 59","2018","2018",3247220,,
"DEU","Germany","T","Total","55_59","55 to 59","2018","2018",6500061,,
"ESP","Spain","W","Women","55_59","55 to 59","2018","2018",1643315,,
"ESP","Spain","M","Men","55_59","55 to 59","2018","2018",1594322,,
"ESP","Spain","T","Total","55_59","55 to 59","2018","2018",3237637,,
"ISR","Israel","W","Women","55_59","55 to 59","2018","2018",202986,,
"ISR","Israel","M","Men","55_59","55 to 59","2018","2018",188613,,
"ISR","Israel","T","Total","55_59","55 to 59","2018","2018",391599,,
"FRA","France","W","Women","60_64","60 to 64","2018","2018",2133272,,
"FRA","France","M","Men","60_64","60 to 64","2018","2018",1945551,,
"FRA","France","T","Total","60_64","60 to 64","2018","2018",4078823,,
"DEU","Germany","W","Women","60_64","60 to 64","2018","2018",2772947,,
"DEU","Germany","M","Men","60_64","60 to 64","2018","2018",2662207,,
"DEU","Germany","T","Total","60_64","60 to 64","2018","2018",5435154,,
"ESP","Spain","W","Women","60_64","60 to 64","2018","2018",1420545,,
"ESP","Spain","M","Men","60_64","60 to 64","2018","2018",1338531,,
"ESP","Spain","T","Total","60_64","60 to 64","2018","2018",2759075,,
"ISR","Israel","W","Women","60_64","60 to 64","2018","2018",194798,,
"ISR","Israel","M","Men","60_64","60 to 64","2018","2018",176243,,
"ISR","Israel","T","Total","60_64","60 to 64","2018","2018",371041,,
"FRA","France","W","Women","65_69","65 to 69","2018","2018",2079940,,
"FRA","France","M","Men","65_69","65 to 69","2018","2018",1859045,,
"FRA","France","T","Total","65_69","65 to 69","2018","2018",3938985,,
"DEU","Germany","W","Women","65_69","65 to 69","2018","2018",2488755,,
"DEU","Germany","M","Men","65_69","65 to 69","2018","2018",2272254,,
"DEU","Germany","T","Total","65_69","65 to 69","2018","2018",4761009,,
"ESP","Spain","W","Women","65_69","65 to 69","2018","2018",1257823,,
"ESP","Spain","M","Men","65_69","65 to 69","2018","2018",1146862,,
"ESP","Spain","T","Total","65_69","65 to 69","2018","2018",2404684,,
"ISR","Israel","W","Women","65_69","65 to 69","2018","2018",183749,,
"ISR","Israel","M","Men","65_69","65 to 69","2018","2018",162791,,
"ISR","Israel","T","Total","65_69","65 to 69","2018","2018",346540,,
"FRA","France","W","Women","70_74","70 to 74","2018","2018",1693030,,
"FRA","France","M","Men","70_74","70 to 74","2018","2018",1462444,,
"FRA","France","T","Total","70_74","70 to 74","2018","2018",3155474,,
"DEU","Germany","W","Women","70_74","70 to 74","2018","2018",1922246,,
"DEU","Germany","M","Men","70_74","70 to 74","2018","2018",1682545,,
"DEU","Germany","T","Total","70_74","70 to 74","2018","2018",3604791,,
"ESP","Spain","W","Women","70_74","70 to 74","2018","2018",1159045,,
"ESP","Spain","M","Men","70_74","70 to 74","2018","2018",996556,,
"ESP","Spain","T","Total","70_74","70 to 74","2018","2018",2155601,,
"ISR","Israel","W","Women","70_74","70 to 74","2018","2018",140890,,
"ISR","Israel","M","Men","70_74","70 to 74","2018","2018",121129,,
"ISR","Israel","T","Total","70_74","70 to 74","2018","2018",262019,,
"FRA","France","W","Women","75_79","75 to 79","2018","2018",1204738,,
"FRA","France","M","Men","75_79","75 to 79","2018","2018",958767,,
"FRA","France","T","Total","75_79","75 to 79","2018","2018",2163505,,
"DEU","Germany","W","Women","75_79","75 to 79","2018","2018",2309010,,
"DEU","Germany","M","Men","75_79","75 to 79","2018","2018",1854251,,
"DEU","Germany","T","Total","75_79","75 to 79","2018","2018",4163261,,
"ESP","Spain","W","Women","75_79","75 to 79","2018","2018",882848,,
"ESP","Spain","M","Men","75_79","75 to 79","2018","2018",699740,,
"ESP","Spain","T","Total","75_79","75 to 79","2018","2018",1582588,,
"ISR","Israel","W","Women","75_79","75 to 79","2018","2018",91718,,
"ISR","Israel","M","Men","75_79","75 to 79","2018","2018",72534,,
"ISR","Israel","T","Total","75_79","75 to 79","2018","2018",164252,,
"FRA","France","W","Women","80_84","80 to 84","2018","2018",1109761,,
"FRA","France","M","Men","80_84","80 to 84","2018","2018",752839,,
"FRA","France","T","Total","80_84","80 to 84","2018","2018",1862600,,
"DEU","Germany","W","Women","80_84","80 to 84","2018","2018",1760647,,
"DEU","Germany","M","Men","80_84","80 to 84","2018","2018",1236528,,
"DEU","Germany","T","Total","80_84","80 to 84","2018","2018",2997175,,
"ESP","Spain","W","Women","80_84","80 to 84","2018","2018",825977,,
"ESP","Spain","M","Men","80_84","80 to 84","2018","2018",562643,,
"ESP","Spain","T","Total","80_84","80 to 84","2018","2018",1388620,,
"ISR","Israel","W","Women","80_84","80 to 84","2018","2018",77352,,
"ISR","Israel","M","Men","80_84","80 to 84","2018","2018",56145,,
"ISR","Israel","T","Total","80_84","80 to 84","2018","2018",133497,,
"FRA","France","W","Women","85_OVER","85 and over","2018","2018",1472201,,
"FRA","France","M","Men","85_OVER","85 and over","2018","2018",686290,,
"FRA","France","T","Total","85_OVER","85 and over","2018","2018",2158491,,
"DEU","Germany","W","Women","85_OVER","85 and over","2018","2018",1544041,,
"DEU","Germany","M","Men","85_OVER","85 and over","2018","2018",727812,,
"DEU","Germany","T","Total","85_OVER","85 and over","2018","2018",2271853,,
"ESP","Spain","W","Women","85_OVER","85 and over","2018","2018",982845,,
"ESP","Spain","M","Men","85_OVER","85 and over","2018","2018",503079,,
"ESP","Spain","T","Total","85_OVER","85 and over","2018","2018",1485927,,
"ISR","Israel","W","Women","85_OVER","85 and over","2018","2018",79322,,
"ISR","Israel","M","Men","85_OVER","85 and over","2018","2018",48431,,
"ISR","Israel","T","Total","85_OVER","85 and over","2018","2018",127753,,
"FRA","France","W","Women","50_OVER","50 and over","2018","2018",14205695,,
"FRA","France","M","Men","50_OVER","50 and over","2018","2018",11965062,,
"FRA","France","T","Total","50_OVER","50 and over","2018","2018",26170757,,
"DEU","Germany","W","Women","50_OVER","50 and over","2018","2018",19478291,,
"DEU","Germany","M","Men","50_OVER","50 and over","2018","2018",17176650,,
"DEU","Germany","T","Total","50_OVER","50 and over","2018","2018",36654941,,
"ESP","Spain","W","Women","50_OVER","50 and over","2018","2018",9983709,,
"ESP","Spain","M","Men","50_OVER","50 and over","2018","2018",8644186,,
"ESP","Spain","T","Total","50_OVER","50 and over","2018","2018",18627898,,
"ISR","Israel","W","Women","50_OVER","50 and over","2018","2018",1181766,,
"ISR","Israel","M","Men","50_OVER","50 and over","2018","2018",1030234,,
"ISR","Israel","T","Total","50_OVER","50 and over","2018","2018",2212000,,
"FRA","France","W","Women","LESS_20","Under 20","2018","2018",7919316,,
"FRA","France","M","Men","LESS_20","Under 20","2018","2018",8283685,,
"FRA","France","T","Total","LESS_20","Under 20","2018","2018",16203001,,
"DEU","Germany","W","Women","LESS_20","Under 20","2018","2018",7396839,,
"DEU","Germany","M","Men","LESS_20","Under 20","2018","2018",7880934,,
"DEU","Germany","T","Total","LESS_20","Under 20","2018","2018",15277773,,
"ESP","Spain","W","Women","LESS_20","Under 20","2018","2018",4476053,,
"ESP","Spain","M","Men","LESS_20","Under 20","2018","2018",4761108,,
"ESP","Spain","T","Total","LESS_20","Under 20","2018","2018",9237159,,
"ISR","Israel","W","Women","LESS_20","Under 20","2018","2018",1566888,,
"ISR","Israel","M","Men","LESS_20","Under 20","2018","2018",1649481,,
"ISR","Israel","T","Total","LESS_20","Under 20","2018","2018",3216369,,
"FRA","France","W","Women","15-64","15 to 64","2018","2018",21105373,,
"FRA","France","M","Men","15-64","15 to 64","2018","2018",20490871,,
"FRA","France","T","Total","15-64","15 to 64","2018","2018",41596244,,
"DEU","Germany","W","Women","15-64","15 to 64","2018","2018",26519016,,
"DEU","Germany","M","Men","15-64","15 to 64","2018","2018",27362889,,
"DEU","Germany","T","Total","15-64","15 to 64","2018","2018",53881905,,
"ESP","Spain","W","Women","15-64","15 to 64","2018","2018",15345944,,
"ESP","Spain","M","Men","15-64","15 to 64","2018","2018",15427281,,
"ESP","Spain","T","Total","15-64","15 to 64","2018","2018",30773226,,
"ISR","Israel","W","Women","15-64","15 to 64","2018","2018",2669232,,
"ISR","Israel","M","Men","15-64","15 to 64","2018","2018",2651538,,
"ISR","Israel","T","Total","15-64","15 to 64","2018","2018",5320770,,
"FRA","France","W","Women","20-64","20 to 64","2018","2018",19088743,,
"FRA","France","M","Men","20-64","20 to 64","2018","2018",18370899,,
"FRA","France","T","Total","20-64","20 to 64","2018","2018",37459642,,
"DEU","Germany","W","Women","20-64","20 to 64","2018","2018",24583860,,
"DEU","Germany","M","Men","20-64","20 to 64","2018","2018",25254469,,
"DEU","Germany","T","Total","20-64","20 to 64","2018","2018",49838329,,
"ESP","Spain","W","Women","20-64","20 to 64","2018","2018",14234360,,
"ESP","Spain","M","Men","20-64","20 to 64","2018","2018",14244100,,
"ESP","Spain","T","Total","20-64","20 to 64","2018","2018",28478461,,
"ISR","Israel","W","Women","20-64","20 to 64","2018","2018",2328279,,
"ISR","Israel","M","Men","20-64","20 to 64","2018","2018",2294234,,
"ISR","Israel","T","Total","20-64","20 to 64","2018","2018",4622513,,
"FRA","France","W","Women","65_OVER","65 and over","2018","2018",7559670,,
"FRA","France","M","Men","65_OVER","65 and over","2018","2018",5719385,,
"FRA","France","T","Total","65_OVER","65 and over","2018","2018",13279055,,
"DEU","Germany","W","Women","65_OVER","65 and over","2018","2018",10024699,,
"DEU","Germany","M","Men","65_OVER","65 and over","2018","2018",7773390,,
"DEU","Germany","T","Total","65_OVER","65 and over","2018","2018",17798089,,
"ESP","Spain","W","Women","65_OVER","65 and over","2018","2018",5108538,,
"ESP","Spain","M","Men","65_OVER","65 and over","2018","2018",3908880,,
"ESP","Spain","T","Total","65_OVER","65 and over","2018","2018",9017420,,
"ISR","Israel","W","Women","65_OVER","65 and over","2018","2018",573031,,
"ISR","Israel","M","Men","65_OVER","65 and over","2018","2018",461030,,
"ISR","Israel","T","Total","65_OVER","65 and over","2018","2018",1034061,,
"FRA","France","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",21.869,,
"FRA","France","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",17.667,,
"FRA","France","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",19.837,,
"DEU","Germany","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",23.865,,
"DEU","Germany","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",19.002,,
"DEU","Germany","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",21.466,,
"ESP","Spain","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",21.447,,
"ESP","Spain","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",17.059,,
"ESP","Spain","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",0.193,,
"ISR","Israel","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",12.825,,
"ISR","Israel","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",10.467,,
"ISR","Israel","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",11.654,,
"FRA","France","W","Women","LESS_15_SHARE","Share of under 15 - children","2018","2018",17.076,,
"FRA","France","M","Men","LESS_15_SHARE","Share of under 15 - children","2018","2018",19.039,,
"FRA","France","T","Total","LESS_15_SHARE","Share of under 15 - children","2018","2018",18.025,,
"DEU","Germany","W","Women","LESS_15_SHARE","Share of under 15 - children","2018","2018",13.002,,
"DEU","Germany","M","Men","LESS_15_SHARE","Share of under 15 - children","2018","2018",14.111,,
"DEU","Germany","T","Total","LESS_15_SHARE","Share of under 15 - children","2018","2018",13.549,,
"ESP","Spain","W","Women","LESS_15_SHARE","Share of under 15 - children","2018","2018",14.125,,
"ESP","Spain","M","Men","LESS_15_SHARE","Share of under 15 - children","2018","2018",15.615,,
"ESP","Spain","T","Total","LESS_15_SHARE","Share of under 15 - children","2018","2018",0,,
"ISR","Israel","W","Women","LESS_15_SHARE","Share of under 15 - children","2018","2018",27.437,,
"ISR","Israel","M","Men","LESS_15_SHARE","Share of under 15 - children","2018","2018",29.336,,
"ISR","Israel","T","Total","LESS_15_SHARE","Share of under 15 - children","2018","2018",28.38,,
"FRA","France","W","Women","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",11.183,,
"FRA","France","M","Men","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",12.382,,
"FRA","France","T","Total","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",11.763,,
"DEU","Germany","W","Women","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",9.824,,
"DEU","Germany","M","Men","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",11.057,,
"DEU","Germany","T","Total","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",10.432,,
"ESP","Spain","W","Women","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",9.329,,
"ESP","Spain","M","Men","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",10.22,,
"ESP","Spain","T","Total","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",344.087,,
"ISR","Israel","W","Women","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",14.604,,
"ISR","Israel","M","Men","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",15.462,,
"ISR","Israel","T","Total","15-24_SHARE","Share of 15 to 24 - youth","2018","2018",15.03,,
"FRA","France","W","Women","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.358,,
"FRA","France","M","Men","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.279,,
"FRA","France","T","Total","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.319,,
"DEU","Germany","W","Women","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.378,,
"DEU","Germany","M","Men","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.284,,
"DEU","Germany","T","Total","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.33,,
"ESP","Spain","W","Women","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.333,,
"ESP","Spain","M","Men","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.253,,
"ESP","Spain","T","Total","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",229.854,,
"ISR","Israel","W","Women","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.215,,
"ISR","Israel","M","Men","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.174,,
"ISR","Israel","T","Total","OAD15-64","Old age dependency ratio (65 and over/15-64)","2018","2018",0.194,,
"FRA","France","W","Women","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.811,,
"FRA","France","M","Men","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.762,,
"FRA","France","T","Total","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.787,,
"DEU","Germany","W","Women","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.709,,
"DEU","Germany","M","Men","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.62,,
"DEU","Germany","T","Total","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.664,,
"ESP","Spain","W","Women","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.673,,
"ESP","Spain","M","Men","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.609,,
"ESP","Spain","T","Total","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.641,,
"ISR","Israel","W","Women","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.919,,
"ISR","Israel","M","Men","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.92,,
"ISR","Israel","T","Total","TOTD20-64","Total dependency ratio ((<20 & 65+) / 20-64)","2018","2018",0.92,,
